timestamp,src_ip_private,src_ip_public,src_ip_default,dst_ip_private,dst_ip_public,dst_ip_default,sport_zero,sport_multiplex,sport_echo,sport_discard,sport_daytime,sport_quote,sport_chwhereen,sport_ftp_data,sport_ftp_control,sport_ssh,sport_telnet,sport_smtp,sport_dns,sport_bootp,sport_gopher,sport_finger,sport_http,sport_kerberos,sport_pop3,sport_nntp,sport_ntp,sport_netbios,sport_imap4,sport_snmp,sport_ldap,sport_https,sport_mds,sport_kpasswd,sport_smtp_ssl,sport_syslog,sport_smtp,sport_ldaps,sport_cups,sport_imap4,sport_socks,sport_openvpn,sport_mssql,sport_citrix,sport_oracle,sport_rapservice,sport_msnmessenger,sport_mgc,sport_mysql,sport_metasploit,sport_emule,sport_xmpp,sport_bittorrent,sport_http2,sport_reserved,sport_register,sport_private,dport_zero,dport_multiplex,dport_echo,dport_discard,dport_daytime,dport_quote,dport_chwhereen,dport_ftp_data,dport_ftp_control,dport_ssh,dport_telnet,dport_smtp,dport_dns,dport_bootp,dport_gopher,dport_finger,dport_http,dport_kerberos,dport_pop3,dport_nntp,dport_ntp,dport_netbios,dport_imap4,dport_snmp,dport_ldap,dport_https,dport_mds,dport_kpasswd,dport_smtp_ssl,dport_syslog,dport_smtp,dport_ldaps,dport_cups,dport_imap4,dport_socks,dport_openvpn,dport_mssql,dport_citrix,dport_oracle,dport_rapservice,dport_msnmessenger,dport_mgc,dport_mysql,dport_metasploit,dport_emule,dport_xmpp,dport_bittorrent,dport_http2,dport_reserved,dport_register,dport_private,protocol_6,protocol_17,protocol_other,npackets_verylow,npackets_low,npackets_medium,npackets_high,npackets_veryhigh,npackets_b_verylow,npackets_b_low,npackets_b_medium,npackets_b_high,npackets_b_veryhigh,nbytes_verylow,nbytes_low,nbytes_medium,nbytes_high,nbytes_veryhigh,nbytes_b_verylow,nbytes_b_low,nbytes_b_medium,nbytes_b_high,nbytes_b_veryhigh,label_background,label_DoS_Hulk,label_DDoS,label_PortScan,label_other
03/07/2017 01:00:011339000,655,345,0,538,461,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,4,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,35,598,1,0,0,0,0,0,0,0,2,0,0,0,172,0,0,0,3,0,0,0,16,7,0,0,2,442,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,647,20,333,805,194,1,677,303,20,0,0,705,275,20,0,0,707,196,96,1,0,611,228,130,29,2,1000,0,0,0,0
03/07/2017 01:01:571340000,781,219,0,550,450,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,216,556,1,0,0,0,0,0,0,0,0,4,0,0,319,0,0,0,37,0,0,0,3,4,0,0,1,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,779,8,213,673,326,1,661,243,89,7,0,675,261,56,8,0,662,149,188,1,0,440,286,206,55,13,1000,0,0,0,0
03/07/2017 01:02:251341000,720,280,0,577,423,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,4,7,0,0,0,274,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,54,651,0,0,0,0,0,0,0,0,0,4,0,0,276,0,0,0,68,0,0,0,4,7,0,0,2,349,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,714,36,250,713,287,0,691,252,54,3,0,722,228,45,5,0,713,170,116,1,0,586,185,176,47,6,1000,0,0,0,0
03/07/2017 01:03:421342000,699,301,0,615,385,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4,5,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,103,586,2,0,0,0,0,0,0,0,0,1,0,0,289,0,0,0,45,8,0,0,4,6,0,0,7,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,696,36,268,695,303,2,771,201,27,1,0,797,184,18,1,0,788,139,71,2,0,623,209,149,16,3,1000,0,0,0,0
03/07/2017 01:04:531343000,695,305,0,621,378,1,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,140,0,0,0,4,2,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,61,618,0,0,0,0,0,0,0,0,4,15,0,0,269,0,0,0,165,2,0,0,4,5,0,0,2,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,19,306,721,279,0,707,278,14,0,1,807,174,17,1,1,712,195,89,4,0,569,302,104,23,2,1000,0,0,0,0
03/07/2017 01:06:061344000,667,333,0,559,441,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,1,3,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,115,546,1,0,0,0,0,0,0,0,0,4,0,0,212,0,0,0,37,0,0,0,1,3,0,0,2,402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,663,48,289,783,216,1,634,287,73,6,0,663,273,58,6,0,655,109,234,2,0,555,143,205,87,10,1000,0,0,0,0
03/07/2017 01:07:171345000,739,261,0,618,381,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,26,0,0,0,16,9,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,46,663,1,0,0,0,0,0,0,0,6,0,0,0,317,0,0,0,59,0,0,0,16,10,0,0,3,306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,719,41,240,655,344,1,699,259,35,6,1,742,223,28,6,1,719,148,128,5,0,566,255,138,33,8,1000,0,0,0,0
03/07/2017 01:08:441346000,852,148,0,586,414,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,20,0,0,0,12,4,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,301,527,1,0,0,0,0,0,0,0,12,0,0,0,375,0,0,0,121,8,0,0,12,6,0,0,3,278,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,818,67,115,603,396,1,732,211,49,8,0,773,178,40,9,0,755,165,71,9,0,551,272,130,31,16,1000,0,0,0,0
03/07/2017 01:10:231347000,761,239,0,583,416,1,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,38,0,0,0,8,8,0,0,2,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,95,641,1,0,0,0,0,0,0,0,2,12,0,0,296,0,0,0,56,0,0,0,8,10,0,0,4,350,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,743,54,203,685,314,1,671,278,49,2,0,759,187,50,4,0,745,147,105,3,0,604,215,126,43,12,1000,0,0,0,0
03/07/2017 01:12:501348000,770,230,0,539,461,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,51,0,0,0,4,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,289,474,0,0,0,0,0,0,0,0,1,0,0,0,300,0,0,0,207,0,0,0,4,0,0,0,0,249,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,51,187,695,305,0,688,245,66,1,0,710,228,55,7,0,697,166,133,4,0,536,278,113,57,16,1000,0,0,0,0
