timestamp,src_ip_private,src_ip_public,src_ip_default,dst_ip_private,dst_ip_public,dst_ip_default,sport_zero,sport_multiplex,sport_echo,sport_discard,sport_daytime,sport_quote,sport_chwhereen,sport_ftp_data,sport_ftp_control,sport_ssh,sport_telnet,sport_smtp,sport_dns,sport_bootp,sport_gopher,sport_finger,sport_http,sport_kerberos,sport_pop3,sport_nntp,sport_ntp,sport_netbios,sport_imap4,sport_snmp,sport_ldap,sport_https,sport_mds,sport_kpasswd,sport_smtp_ssl,sport_syslog,sport_smtp,sport_ldaps,sport_cups,sport_imap4,sport_socks,sport_openvpn,sport_mssql,sport_citrix,sport_oracle,sport_rapservice,sport_msnmessenger,sport_mgc,sport_mysql,sport_metasploit,sport_emule,sport_xmpp,sport_bittorrent,sport_http2,sport_reserved,sport_register,sport_private,dport_zero,dport_multiplex,dport_echo,dport_discard,dport_daytime,dport_quote,dport_chwhereen,dport_ftp_data,dport_ftp_control,dport_ssh,dport_telnet,dport_smtp,dport_dns,dport_bootp,dport_gopher,dport_finger,dport_http,dport_kerberos,dport_pop3,dport_nntp,dport_ntp,dport_netbios,dport_imap4,dport_snmp,dport_ldap,dport_https,dport_mds,dport_kpasswd,dport_smtp_ssl,dport_syslog,dport_smtp,dport_ldaps,dport_cups,dport_imap4,dport_socks,dport_openvpn,dport_mssql,dport_citrix,dport_oracle,dport_rapservice,dport_msnmessenger,dport_mgc,dport_mysql,dport_metasploit,dport_emule,dport_xmpp,dport_bittorrent,dport_http2,dport_reserved,dport_register,dport_private,protocol_tcp,protocol_udp,protocol_icmp,protocol_igmp,protocol_other,tcpflags_URG,tcpflags_ACK,tcpflags_PSH,tcpflags_RST,tcpflags_SYN,tcpflags_FIN,srctos_zero,srctos_192,srctos_other,npackets_verylow,npackets_low,npackets_medium,npackets_high,npackets_veryhigh,nbytes_verylow,nbytes_low,nbytes_medium,nbytes_high,nbytes_veryhigh,label_background,label_dos,label_scan44,label_scan11,label_nerisbotnet,label_blacklist,label_anomaly-udpscan,label_anomaly-sshscan,label_anomaly-spam,label_other
2016-07-27 13:43:21,0,9910,90,0,9874,126,33,0,0,0,0,0,0,0,8,1,0,154,2690,0,0,0,1087,0,82,0,10,0,24,1,0,475,60,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,8,0,0,7,0,0,4658,2731,2611,6,2,0,0,0,5,0,0,21,29,16,97,2202,0,0,0,1310,0,86,0,16,1,29,16,0,893,7,0,2,0,0,1,0,26,0,0,1,0,0,0,0,0,4,0,0,0,0,2,4784,3128,2088,4916,5051,33,0,0,0,0,0,0,0,0,9342,8,650,6387,3097,421,88,7,5246,2593,1725,355,81,9932,0,0,0,0,68,0,0,0,0
2016-07-27 13:43:40,0,9878,122,1,9843,156,51,0,0,0,0,0,0,0,6,1,0,156,2522,0,0,0,1093,0,50,0,12,1,16,2,0,681,37,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,6,0,0,4,0,0,4634,2570,2796,8,2,0,0,0,5,0,0,10,5,36,95,2088,0,0,0,1430,0,52,0,15,0,15,39,0,1097,15,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,2,0,0,1,0,8,4954,2693,2353,5104,4845,49,0,2,0,0,0,0,0,0,9463,14,523,5884,3289,657,163,7,4652,2653,2007,559,129,9973,0,0,0,0,27,0,0,0,0
2016-07-27 13:43:51,0,9886,114,0,9840,160,22,0,0,0,0,0,0,0,13,3,1,175,2343,0,0,0,1221,0,62,0,19,0,12,2,0,686,37,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,3,0,0,6,0,0,4612,2657,2731,7,2,0,0,0,4,0,0,15,3,28,112,1876,0,0,0,1688,0,46,0,45,0,22,27,0,1052,9,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,1,9,4962,2729,2309,5483,4494,21,0,2,0,0,0,0,0,0,9508,7,485,5558,3511,721,202,8,4535,2597,2098,600,170,9955,0,0,0,0,45,0,0,0,0
2016-07-27 13:44:00,0,9900,100,0,9849,151,36,0,0,0,0,0,0,0,5,1,0,149,2225,0,0,0,1072,0,80,0,14,0,23,1,0,630,28,0,0,0,1,0,0,12,0,1,0,1,0,0,0,0,2,0,0,4,0,3,4285,3055,2660,3,2,0,0,0,8,0,0,24,27,28,82,1848,0,0,0,1530,0,72,0,14,1,36,19,0,956,497,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,1,0,0,1,0,13,5194,2770,2036,5777,4187,36,0,0,0,0,0,0,0,0,9319,12,669,5737,3451,654,146,12,4745,2479,2107,548,121,9978,0,0,0,0,22,0,0,0,0
2016-07-27 13:44:09,0,9830,170,0,9770,230,59,0,0,0,0,0,0,0,3,3,1,145,1670,0,0,0,1161,0,91,0,19,4,11,3,0,792,33,0,0,0,2,0,0,15,0,1,0,0,1,0,0,0,4,1,0,5,0,3,4025,3133,2842,13,1,0,0,0,10,0,0,8,5,95,62,1489,0,0,0,1520,0,66,0,16,3,13,33,0,1174,866,0,0,0,2,0,0,18,0,1,0,0,1,0,0,0,2,1,0,3,0,9,5436,2304,2260,6568,3371,54,0,7,0,0,0,0,0,0,8967,10,1023,5525,3690,631,138,16,4503,2404,2412,561,120,9949,0,0,0,0,51,0,0,0,0
2016-07-27 13:44:17,1,9762,237,3,9811,186,53,0,0,0,0,0,0,0,8,2,0,101,1435,0,0,0,1384,0,45,0,24,5,27,10,0,904,49,0,0,0,1,0,0,14,0,1,1,0,0,1,0,0,6,0,0,6,1,2,4079,2981,2940,11,1,0,0,0,6,0,0,8,2,156,99,1502,0,0,0,1444,0,39,0,30,8,24,23,0,994,685,0,0,0,1,0,0,13,0,0,0,0,0,1,0,0,3,0,0,7,1,8,5096,2272,2632,6657,3289,50,0,4,0,0,0,0,0,0,8449,19,1532,5604,3795,466,118,17,4579,2577,2291,442,111,9942,0,0,0,0,58,0,0,0,0
2016-07-27 13:44:23,0,9701,299,2,9810,188,58,0,0,0,0,0,0,0,5,7,5,91,1509,0,0,0,1421,0,76,0,9,0,19,2,0,961,59,0,2,0,2,0,0,13,0,1,0,0,0,0,0,0,5,0,0,1,0,10,4245,2866,2889,20,1,0,0,0,4,0,0,7,7,242,96,1554,1,0,0,1414,0,76,0,12,4,17,17,0,994,626,0,3,0,2,0,0,12,0,1,0,0,0,0,0,0,3,0,0,2,0,10,5140,2215,2645,6748,3194,51,0,7,0,0,0,0,0,0,8342,15,1643,5333,3934,534,178,21,4369,2654,2367,478,132,9989,0,0,0,0,11,0,0,0,0
2016-07-27 13:44:28,0,9837,163,0,9781,219,85,0,0,0,0,0,0,0,8,2,3,84,1177,0,0,0,1750,0,62,0,6,1,14,29,0,1038,40,0,1,0,0,0,0,10,2,0,0,0,0,0,0,0,2,0,0,5,1,10,4320,2839,2841,18,2,0,0,0,7,0,0,10,0,57,89,1205,0,0,0,1707,0,55,0,7,3,15,44,0,1070,669,0,0,0,1,0,0,12,3,0,0,0,0,0,0,0,2,0,0,6,1,8,5010,2273,2717,7354,2560,82,0,4,0,0,0,0,0,0,8518,10,1472,4567,4429,720,257,27,3809,2602,2742,654,193,9973,0,0,0,0,27,0,0,0,0
2016-07-27 13:44:33,1,9875,124,1,9814,185,87,0,0,0,0,0,0,0,11,5,2,100,1256,0,0,0,1682,0,61,0,12,6,11,2,0,908,51,0,2,0,1,0,0,9,0,0,0,0,0,0,0,0,4,0,0,3,0,6,4214,2980,2806,29,1,0,0,0,10,0,0,12,13,48,102,1236,0,0,0,1694,0,60,0,17,7,9,19,0,939,668,0,2,0,1,0,0,10,0,0,0,0,0,0,0,0,2,0,0,4,0,8,4909,2460,2631,7192,2719,78,0,11,0,0,0,0,0,0,8431,17,1552,5049,4123,629,178,21,4216,2640,2353,640,151,9959,0,0,0,0,41,0,0,0,0
2016-07-27 13:44:38,0,9848,152,0,9774,226,81,0,0,0,0,0,0,1,12,10,16,110,1202,0,0,0,1292,0,40,0,14,0,24,15,0,1109,65,0,1,0,1,0,0,10,0,1,0,0,0,0,0,0,8,0,0,2,0,5,4009,3315,2676,22,2,0,0,0,5,0,1,14,14,161,117,1274,0,0,0,1278,0,38,0,18,4,24,35,0,1186,738,0,1,0,1,0,0,10,0,1,0,0,0,0,0,0,4,0,0,3,0,5,4984,2289,2727,6948,2969,74,0,9,0,0,0,0,0,0,8203,15,1782,5362,3873,575,165,25,4292,2674,2405,497,132,9966,0,0,0,0,34,0,0,0,0
