,remse
0,0.011095577449398819
1,0.11663960484435841
2,0.013684630597485828
3,0.006363904848388443
4,0.006614660060302043
5,0.006470571197415632
6,0.007780302931357337
7,0.006837930650696935
8,0.008411062961229095
9,0.046798181714579175
10,0.05900219217738164
11,0.06853971595077804
12,0.046359942690417516
13,0.008635168102422475
14,0.009513995015604907
15,0.008219777389803727
16,0.006931865342277045
17,0.005778589232817878
18,0.006955528431571405
19,0.005998447460788095
20,0.016728312128310267
21,0.02248980140651222
22,0.019622746384817178
23,0.011671285285543686
24,0.020563921003764456
25,0.021024593610799558
26,0.02844424511934119
27,0.0355474367836378
28,0.00809456176726699
29,0.00814399934360266
30,0.007949503767097623
31,0.006429191696225291
32,0.006503080293274861
33,0.007833959021365775
34,0.006786779740037901
35,0.005300065411363062
36,0.006925044119366348
37,0.006037920985259333
38,0.008603004016155099
39,0.013199598225563271
40,0.03901199095855453
41,0.044600366716152216
42,0.05245324007191022
43,0.01462083006853395
44,0.006114737190220767
45,0.005745552723255567
46,0.006159828713125114
47,0.006858869025550646
48,0.006561520579039551
49,0.07116894862556448
50,0.5096926446516349
51,0.5374956490668845
52,0.5304470045664775
53,0.009384390739298799
54,0.005285490412244884
55,0.006985520003037699
56,0.0059947823215062345
57,0.006340319353613331
58,0.0079797291112604
59,0.006877975957554541
60,0.0763724786930309
61,0.07549693341513218
62,0.04637701064321111
63,0.059679898925589836
64,0.07824673988667707
65,0.04376180501816926
66,0.06757989667093676
67,0.04694010116303954
68,0.07540530920203793
69,0.07503536814590349
70,0.0756514298053807
71,0.0755979356804431
72,0.0490009745305882
73,0.06657570941742391
74,0.06121269045074595
75,0.06971728165327798
76,0.05452022193999395
77,0.07508936807804535
78,0.04568120224357189
79,0.05921038526064372
80,0.04584086921815181
81,0.058767512012226644
82,0.06045102663311359
83,0.060335624772648526
84,0.0748964187289161
85,0.07442442522248686
86,0.07599801210048225
87,0.061453287132555975
88,0.04497756468912589
89,0.05523267158768699
90,0.08850143347292977
91,0.02949824444507364
92,0.07609425467508796
93,0.06154876731651208
94,0.06080472445596855
95,0.04064552717150902
96,0.06020306266780391
97,0.0615919853820411
98,0.09744823185238048
99,0.07573213821061535
100,0.08189949734591286
101,0.0759587714966592
102,0.08963375514165463
103,0.09704013548950739
104,0.07637725816048048
105,0.09803372404057839
106,0.007231920961543006
107,0.008450276283069373
108,0.008625173659734938
109,0.008827119478709377
110,0.09752122232134101
111,0.0971746945549969
112,0.09738696487060916
113,0.09727028064564278
114,0.008714707314237416
115,0.07646521736943146
116,0.0972320992851072
117,0.09748181976407327
118,0.09766942091548747
119,0.00915491355589793
120,0.009208922332382248
121,0.008564573187763769
122,0.00699673315773854
123,0.006675318230723255
124,0.006785868302932831
125,0.006770810216811526
126,0.011374060029368825
127,0.011249076049997793
128,0.009077704960788678
129,0.008249280237239138
130,0.007769926656152024
131,0.006993010826034147
132,0.008773116863577976
133,0.005958966028515819
134,0.0052667379123537885
135,0.006510658511921815
136,0.007658536513458256
137,0.007113069289817785
138,0.008921451515660248
139,0.007295885267323489
140,0.007139248372230535
141,0.007176978749950976
142,0.007683604313746522
143,0.00855519368919586
144,0.00750633357746817
145,0.006010529211518751
146,0.008858907965862835
147,0.009277254496080441
148,0.008678570761808047
149,0.006773033288327192
150,0.006004232351034132
151,0.006873877784293876
152,0.007158571112615982
153,0.008855979837080676
154,0.008588559700919476
155,0.008738411408750776
156,0.008642480512879957
157,0.007214892511903785
158,0.007781043985858431
159,0.007865447160847482
160,0.007687690022738288
161,0.007350307062457996
162,0.007313973973539796
163,0.007267536304509158
164,0.006436784392584016
165,0.007745285315885727
166,0.005521016198108446
167,0.007010141391987552
168,0.007757328976714866
169,0.0073274027249150345
170,0.006192867949905507
171,0.008149220581938333
172,0.007294966097877979
173,0.007737004207564012
174,0.005737749014943392
175,0.006797023775996012
176,0.007152135645188252
177,0.011088150163561425
178,0.007129597843119702
179,0.005511418242542402
180,0.006800189525428662
181,0.0058244943752517615
182,0.006666935556788759
183,0.0066376797171547154
184,0.007203653666638101
185,0.01689390345505093
186,0.008328957165725239
187,0.006754911577961934
188,0.008205437780646158
189,0.006156958100724698
190,0.005975551317936549
191,0.0047600477060406226
192,0.005133182742310383
193,0.00608059438542532
194,0.006980759114854054
195,0.005863427973555041
196,0.005851048022513831
197,0.006537336183811345
198,0.006572147739461232
199,0.007543169334781195
200,0.007202177237588292
201,0.007652009940910079
202,0.006659790813101645
203,0.00829893271786867
204,0.00742499874739601
205,0.005830270463639484
206,0.006469293950884521
207,0.008691199844186563
208,0.006468031089111335
209,0.007351299470408139
210,0.007080907857238562
211,0.006631194462805025
212,0.0062683168134792955
213,0.005700271815842191
214,0.009815470819967859
215,0.00964053458794899
216,0.007793309668754653
217,0.005132336007802953
218,0.007618101047089063
219,0.006107992004551238
220,0.0059390357671426815
221,0.007363940693388232
222,0.006471373639662345
223,0.006775917603938779
224,0.006301299792713041
225,0.007108638803247947
226,0.006993429898216964
227,0.005357869709353462
228,0.005539484843151167
229,0.006781659735690656
230,0.008440336296245588
231,0.0325059346110189
232,0.008681009068990128
233,0.006510586323962349
234,0.0066511583951974545
235,0.0057601236400794415
236,0.007879790740107768
237,0.00743008417231635
238,0.008039373838777128
239,0.014388235774183931
240,0.013198521346038918
241,0.007736146333476927
242,0.006737302361937811
243,0.007118633648739346
244,0.007430043100338285
245,0.0064187016428186045
246,0.007439532106058488
247,0.0070807111682948416
248,0.00850389487406867
249,0.0071649321931119584
250,0.005930814374208815
251,0.007539628609907998
252,0.006950086939070691
253,0.004677725847697238
254,0.006538106392588634
255,0.008527330277491434
256,0.012099751055722892
257,0.008016179681788181
258,0.007418891583340166
259,0.006929539091480656
260,0.007082695043619321
261,0.0058385626411880135
262,0.008593662229791197
263,0.005831489615417402
264,0.0069697401168021585
265,0.007766066653188356
266,0.0070123339716496496
267,0.010011710550743772
268,0.007827221016393545
269,0.008039563227880422
270,0.03380066949062269
271,0.008640775205453973
272,0.009653557836936067
273,0.01127406999213441
274,0.008619785388093007
275,0.05542582784546223
276,0.015469884258175274
277,0.00945383888941887
278,0.008825661167259179
279,0.01689059923694177
280,0.010491159418274297
281,0.007681284272247173
282,0.010196425468132356
283,0.009598423868538626
284,0.008026899852989152
285,0.008377371442119586
286,0.010337998095005307
287,0.009378855482291204
288,0.00961353135654787
289,0.007569499978854882
290,0.008365735317541744
291,0.007813115375668875
292,0.007636614869425164
293,0.01137319123972831
294,0.00876296903959205
295,0.00752194135482233
296,0.00878954385660969
297,0.010940816922034816
298,0.017614939535079473
299,0.018565093488460964
300,0.008585037351548424
301,0.009204354426195327
302,0.008496578635278447
303,0.008393960092263156
304,0.010192318514528268
305,0.007310862734365871
306,0.013461213424158647
307,0.011278089540112357
308,0.009790850851530373
309,0.00909402927246043
310,0.009264053885887712
311,0.008975736002217655
312,0.015369019789635192
313,0.009965129661310733
314,0.009936496548778073
315,0.008207422926566175
316,0.009577830575103054
317,0.009309053278352098
318,0.01157797589957191
319,0.008373987904082362
320,0.007246723648325163
321,0.009880162576622368
322,0.00848367202127357
323,0.009354638105640623
324,0.008518826349223019
325,0.008376267995797888
326,0.009668070316846081
327,0.009644280273956524
328,0.009208756610431695
329,0.008656112732282997
330,0.009159420054957072
331,0.007716185157698659
332,0.008430312085020406
333,0.008559119151640666
334,0.02052534617559706
335,0.00901271043272547
336,0.00889480088088631
337,0.008355897976031507
338,0.00948101623045883
339,0.007868332211946735
340,0.007383870552477369
341,0.008457650520422178
342,0.0075769936426580385
343,0.008095649648633766
344,0.008601608429158074
345,0.009045842461207883
346,0.008810336672274311
347,0.008181888122583183
348,0.007771749450644191
349,0.0073092170962639124
350,0.005911721888924045
351,0.008444099498248326
352,0.008177914844747525
353,0.010043089714666905
354,0.007091530210739734
355,0.008488306303131432
356,0.009205587037750141
357,0.007071572549480958
358,0.008763640591546606
359,0.008850513515508054
360,0.00699243916470956
361,0.007589808105618286
362,0.006822203208724495
363,0.006914658400870138
364,0.00578886715179978
365,0.008153439844796717
366,0.008146368711846354
367,0.008106899777296325
368,0.009753341630339977
369,0.005636792685989018
370,0.006363607260501982
371,0.007068548099194622
372,0.006514705079165584
373,0.008175392630026786
374,0.00859423776083122
375,0.007747242438928343
376,0.0067749605369687126
377,0.008065973339329355
378,0.011331185676455786
379,0.00689294306553044
380,0.02188516487289674
381,0.016351192102442434
382,0.008716769545419055
383,0.006908372533921402
384,0.009441979696549922
385,0.00571247010540809
386,0.0075719406652518745
387,0.008071798096120266
388,0.005659573897865567
389,0.009252093379554112
390,0.009440109327475412
391,0.007615017346219504
392,0.007162410247087966
393,0.009934437306547285
394,0.008401951993769724
395,0.007778267501169497
396,0.009411554290373122
397,0.00676674350123508
398,0.007781252135014747
399,0.007167420271524414
400,0.008948655913666352
