maxAE=3, minAE=1, batch_size=4, accuracy=0.5937
maxAE=3, minAE=1, batch_size=8, accuracy=0.6922
maxAE=3, minAE=1, batch_size=16, accuracy=0.6922
maxAE=3, minAE=3, batch_size=4, accuracy=0.6616
maxAE=3, minAE=3, batch_size=8, accuracy=0.6616
maxAE=3, minAE=3, batch_size=16, accuracy=0.6616
maxAE=5, minAE=1, batch_size=4, accuracy=0.5166
maxAE=5, minAE=1, batch_size=8, accuracy=0.6709
maxAE=5, minAE=1, batch_size=16, accuracy=0.6709
maxAE=5, minAE=3, batch_size=4, accuracy=0.6323
maxAE=5, minAE=3, batch_size=8, accuracy=0.6323
maxAE=5, minAE=3, batch_size=16, accuracy=0.6323
maxAE=5, minAE=5, batch_size=4, accuracy=0.3229
maxAE=5, minAE=5, batch_size=8, accuracy=0.5978
maxAE=5, minAE=5, batch_size=16, accuracy=0.6614
maxAE=10, minAE=1, batch_size=4, accuracy=0.6812
maxAE=10, minAE=1, batch_size=8, accuracy=0.6812
maxAE=10, minAE=1, batch_size=16, accuracy=0.6812
maxAE=10, minAE=3, batch_size=4, accuracy=0.6351
maxAE=10, minAE=3, batch_size=8, accuracy=0.6351
maxAE=10, minAE=3, batch_size=16, accuracy=0.6351
maxAE=10, minAE=5, batch_size=4, accuracy=0.4787
maxAE=10, minAE=5, batch_size=8, accuracy=0.6667
maxAE=10, minAE=5, batch_size=16, accuracy=0.6667
maxAE=10, minAE=10, batch_size=4, accuracy=0.6925
maxAE=10, minAE=10, batch_size=8, accuracy=0.6925
maxAE=10, minAE=10, batch_size=16, accuracy=0.6925
maxAE=15, minAE=1, batch_size=4, accuracy=0.6646
maxAE=15, minAE=1, batch_size=8, accuracy=0.6646
maxAE=15, minAE=1, batch_size=16, accuracy=0.6646
maxAE=15, minAE=3, batch_size=4, accuracy=0.6211
maxAE=15, minAE=3, batch_size=8, accuracy=0.6276
maxAE=15, minAE=3, batch_size=16, accuracy=0.6276
maxAE=15, minAE=5, batch_size=4, accuracy=0.6053
maxAE=15, minAE=5, batch_size=8, accuracy=0.6053
maxAE=15, minAE=5, batch_size=16, accuracy=0.6053
maxAE=15, minAE=10, batch_size=4, accuracy=0.6769
maxAE=15, minAE=10, batch_size=8, accuracy=0.6769
maxAE=15, minAE=10, batch_size=16, accuracy=0.6769

Best parameters found:
maxAE=10, minAE=10, batch_size=4, best accuracy=0.6925
