maxAE=3, minAE=1, batch_size=4, accuracy=0.7782
maxAE=3, minAE=1, batch_size=8, accuracy=0.7722
maxAE=3, minAE=1, batch_size=16, accuracy=0.7782
maxAE=3, minAE=3, batch_size=4, accuracy=0.7715
maxAE=3, minAE=3, batch_size=8, accuracy=0.7245
maxAE=3, minAE=3, batch_size=16, accuracy=0.7715
maxAE=5, minAE=1, batch_size=4, accuracy=0.7675
maxAE=5, minAE=1, batch_size=8, accuracy=0.7675
maxAE=5, minAE=1, batch_size=16, accuracy=0.7675
maxAE=5, minAE=3, batch_size=4, accuracy=0.7598
maxAE=5, minAE=3, batch_size=8, accuracy=0.7598
maxAE=5, minAE=3, batch_size=16, accuracy=0.7598
maxAE=5, minAE=5, batch_size=4, accuracy=0.7537
maxAE=5, minAE=5, batch_size=8, accuracy=0.7537
maxAE=5, minAE=5, batch_size=16, accuracy=0.7524
maxAE=10, minAE=1, batch_size=4, accuracy=0.7696
maxAE=10, minAE=1, batch_size=8, accuracy=0.7253
maxAE=10, minAE=1, batch_size=16, accuracy=0.7696
maxAE=10, minAE=3, batch_size=4, accuracy=0.7609
maxAE=10, minAE=3, batch_size=8, accuracy=0.7609
maxAE=10, minAE=3, batch_size=16, accuracy=0.7609
maxAE=10, minAE=5, batch_size=4, accuracy=0.7531
maxAE=10, minAE=5, batch_size=8, accuracy=0.7143
maxAE=10, minAE=5, batch_size=16, accuracy=0.7492
maxAE=10, minAE=10, batch_size=4, accuracy=0.7477
maxAE=10, minAE=10, batch_size=8, accuracy=0.7632
maxAE=10, minAE=10, batch_size=16, accuracy=0.7588
maxAE=15, minAE=1, batch_size=4, accuracy=0.7672
maxAE=15, minAE=1, batch_size=8, accuracy=0.7543
maxAE=15, minAE=1, batch_size=16, accuracy=0.7570
maxAE=15, minAE=3, batch_size=4, accuracy=0.7568
maxAE=15, minAE=3, batch_size=8, accuracy=0.7568
maxAE=15, minAE=3, batch_size=16, accuracy=0.7568
maxAE=15, minAE=5, batch_size=4, accuracy=0.7469
maxAE=15, minAE=5, batch_size=8, accuracy=0.7469
maxAE=15, minAE=5, batch_size=16, accuracy=0.6420
maxAE=15, minAE=10, batch_size=4, accuracy=0.7597
maxAE=15, minAE=10, batch_size=8, accuracy=0.7597
maxAE=15, minAE=10, batch_size=16, accuracy=0.7597

Best parameters found:
maxAE=3, minAE=1, batch_size=4, best accuracy=0.7782
